lambda	lc_Re	lc_Im
-501.4780956187391	-0.0004911059657509486	0.000327621639932954
-500.7939508771036	-0.00039174498588959394	0.0005257451752179097
-500.10980613546815	-0.00018955709117286	0.000616580478791899
-499.4256613938327	2.4531673811208082e-05	0.0005590138789654404
-498.7415166521972	0.00015389681128205406	0.00037869582707357566
-498.05737191056176	0.00013976155136949348	0.00015671930972790051
-497.3732271689263	-1.2162763282265026e-05	-6.741390633701976e-06
-496.6890824272908	-0.00023401560969351702	-3.752856797851025e-05
-496.00493768565536	-0.00042615711680416696	7.896626147003568e-05
-495.3207929440199	-0.0005019783572754641	0.000290996706273199
-494.63664820238444	-0.00042700085064456463	0.0005035495946161045
-493.95250346074897	-0.00023461483914974287	0.0006210266833632453
-493.2683587191135	-1.1274087131732575e-05	0.0005903475173186219
-492.58421397747804	0.000142289975081285	0.00042504041024190686
-491.9000692358426	0.00015643521141562073	0.00019938894485988607
-491.2159244942071	2.4125651071932428e-05	1.5162509940670136e-05
-490.53177975257165	-0.0001956637319678641	-4.416975727478893e-05
-489.8476350109362	-0.0004042938032044681	4.8856552190404954e-05
-489.1634902693007	-0.0005077905271847098	0.00025310896374736895
-488.47934552766526	-0.00045923575075453905	0.0004771494399066188
-487.7952007860298	-0.0002800984477890597	0.0006202767331801675
-487.11105604439433	-5.080966775847816e-05	0.0006178987537726502
-486.42691130275887	0.0001252839614036398	0.0004707927996019344
-485.7427665611234	0.00016843441249842517	0.0002449999542687905
-485.05862181948794	5.854006002617142e-05	4.2291264630800257e-05
-484.3744770778525	-0.00015556617559903352	-4.558784329859679e-05
-483.690332336217	-0.0003778769157607993	2.1675475965130236e-05
-483.00618759458155	-0.0005083237320063548	0.00021459007472493646
-482.3220428529461	-0.0004878842599399892	0.00044689548986115543
-481.6378981113106	-0.00032535145963735317	0.0006142437731857328
-480.95375336967516	-9.362528685728929e-05	0.0006411834422097669
-480.2696086280397	0.00010291641159778747	0.0005152914952269144
-479.5854638864042	0.00017536456845910066	0.0002930143433340555
-478.90131914476876	9.042869080728178e-05	7.447658327548693e-05
-478.2171744031333	-0.0001143400689425109	-4.1501266611703575e-05
-477.53302966149784	-0.00034721169096110473	-1.96827497024062e-06
-476.84888491986237	-0.0005034339240755361	0.00017610496266931867
-476.1647401782269	-0.0005124180785619115	0.00041321161873715404
-475.48059543659144	-0.0003697001557891566	0.0006029211393535667
-474.796450694956	-0.00013920721236773185	0.0006597686654807911
-474.1123059533205	7.530678421051139e-05	0.0005578741689017523
-473.42816121168505	0.0001768937794938423	0.000342841580032341
-472.7440164700496	0.00011915484383305769	0.0001114696452244173
-472.0598717284141	-7.264214787815601e-05	-3.170054216847435e-05
-471.37572698677866	-0.0003126800377768013	-2.1496869989407743e-05
-470.6915822451432	-0.0004930563676958812	0.00013834315165235888
-470.00743750350773	-0.0005323551203265369	0.000376591001913485
-469.32329276187227	-0.00041246302604740464	0.0005863851716180059
-468.6391480202368	-0.00018698334163026856	0.0006732809158008629
-467.95500327860134	4.265719322783977e-05	0.0005978875420737529
